FacilityCode,FacilityDescription,FacilityCombined
400,ADMINISTRATION TCRS,400-ADMINISTRATION TCRS
401,LLOYDMINSTER TCRS,401-LLOYDMINSTER TCRS
402,EDMONTON SOUTH TCRS,402-EDMONTON SOUTH TCRS
403,BONNYVILLE TCRS,403-BONNYVILLE TCRS
404,CALGARY TCRS,404-CALGARY TCRS
405,FORT NELSON TCRS,405-FORT NELSON TCRS
406,FORT MCMURRAY TCRS,406-FORT MCMURRAY TCRS
407,GRANDE PRAIRIE TCRS,407-GRANDE PRAIRIE TCRS
408,SLAVE LAKE TCRS,408-SLAVE LAKE TCRS
409,RESOURCES GROUP TCRS,409-RESOURCES GROUP TCRS
410,VANCOUVER DOWNTOWN TCRS,410-VANCOUVER DOWNTOWN TCRS
411,FORT ST JOHN TCRS,411-FORT ST JOHN TCRS
412,DRAYTON VALLEY TCRS,412-DRAYTON VALLEY TCRS
413,HINTON TCRS,413-HINTON TCRS
414,VANCOUVER LANGLEY TCRS,414-VANCOUVER LANGLEY TCRS
415,COCHRANE,415-COCHRANE
416,ROCKY MOUNTAIN HOUSE TCRS,416-ROCKY MOUNTAIN HOUSE TCRS
417,SPARWOOD TCRS,417-SPARWOOD TCRS
418,VANCOUVER CLOVERDALE,418-VANCOUVER CLOVERDALE
419,VANCOUVER COQUITLAM TCRS,419-VANCOUVER COQUITLAM TCRS
420,VANCOUVER NORTH TCRS,420-VANCOUVER NORTH TCRS
421,PRINCE GEORGE TCRS,421-PRINCE GEORGE TCRS
422,PEACE RIVER TCRS,422-PEACE RIVER TCRS
423,HIGH LEVEL TCRS,423-HIGH LEVEL TCRS
424,PARKSVILLE TCRS,424-PARKSVILLE TCRS
425,VANCOUVER RICHMOND,425-VANCOUVER RICHMOND
426,DAWSON CREEK TCRS,426-DAWSON CREEK TCRS
427,WIRTANEN ELECTRIC DIVISION TCRS,427-WIRTANEN ELECTRIC DIVISION TCRS
428,KELOWNA,428-KELOWNA
429,MISSION,429-MISSION
430,ABBOTSFORD TCRS,430-ABBOTSFORD TCRS
431,KAMLOOPS TCRS,431-KAMLOOPS TCRS
432,FORT SASKATCHEWAN TCRS,432-FORT SASKATCHEWAN TCRS
433,ALBERTA TRENCH SHORING TCRS,433-ALBERTA TRENCH SHORING TCRS
434,EDMONTON WEST TRANSALTA TCRS,434-EDMONTON WEST TRANSALTA TCRS
435,INDUSTRIAL SERVICES DIVISION TCRS,435-INDUSTRIAL SERVICES DIVISION TCRS
436,FORT MCKAY TCRS,436-FORT MCKAY TCRS
437,BC TRENCH SHORING TCRS,437-BC TRENCH SHORING TCRS
438,REGINA TCRS,438-REGINA TCRS
439,SASKATOON TCRS,439-SASKATOON TCRS
440,CALGARY SPECIALTY BRANCH TCRS,440-CALGARY SPECIALTY BRANCH TCRS
441,EDMONTON SPECIALTY BRANCH TCRS,441-EDMONTON SPECIALTY BRANCH TCRS
442,ESTEVAN TCRS,442-ESTEVAN TCRS
443,SWIFT CURRENT TCRS,443-SWIFT CURRENT TCRS
444,VANCOUVER SPECIALITY BRANCH TCRS,444-VANCOUVER SPECIALITY BRANCH TCRS
445,REGINA SPECIALTY BRANCE,445-REGINA SPECIALTY BRANCE
446,KELOWNA DEPOT TCRS,446-KELOWNA DEPOT TCRS
455,CRANBROOK SATELLITE TCRS,455-CRANBROOK SATELLITE TCRS
456,WHITEHORSE SATELLITE TCRS,456-WHITEHORSE SATELLITE TCRS
457,YUKON TCRS,457-YUKON TCRS
458,TERRACE TCRS,458-TERRACE TCRS
480,REGIONAL SALES & OPERATIONS SUPPORT TCRS,480-REGIONAL SALES & OPERATIONS SUPPORT TCRS
485,SAFETY TRAINING,485-SAFETY TRAINING
490,CORPORATE SERVICES SUPPORT TCRS,490-CORPORATE SERVICES SUPPORT TCRS
495,ISLAND VIRTUAL,495-ISLAND VIRTUAL
496,CORPORATE OFFSET BRANCH,496-CORPORATE OFFSET BRANCH
497,HR DEPARTMENT,497-HR DEPARTMENT
498,SOUTHERN VIRTUAL,498-SOUTHERN VIRTUAL
499,VANCOUVER VIRTUAL TCRS,499-VANCOUVER VIRTUAL TCRS
500,ADMINISTRATION SITECH,500-ADMINISTRATION SITECH
501,EDMONTON SITECH,501-EDMONTON SITECH
502,CALGARY SITECH,502-CALGARY SITECH
503,SURREY SITECH,503-SURREY SITECH
504,PRINCE GEORGE SITECH,504-PRINCE GEORGE SITECH
505,REGINA SITECH,505-REGINA SITECH
506,GRANDE PRAIRIE SITECH,506-GRANDE PRAIRIE SITECH
507,VERNON SITECH,507-VERNON SITECH
600,RENTAL FLEET ADMINISTRATION - POWER SYSTEMS,600-RENTAL FLEET ADMINISTRATION - POWER SYSTEMS
601,CALGARY POWER SYSTEMS,601-CALGARY POWER SYSTEMS
602,EDMONTON POWER SYSTEMS,602-EDMONTON POWER SYSTEMS
603,FORT MCMURRAY POWER SYSTEMS,603-FORT MCMURRAY POWER SYSTEMS
604,GRANDE PRAIRIE POWER SYSTEMS,604-GRANDE PRAIRIE POWER SYSTEMS
605,FORT ST JOHN POWER SYSTEMS,605-FORT ST JOHN POWER SYSTEMS
606,REGINA POWER SYSTEMS,606-REGINA POWER SYSTEMS
607,SURREY POWER SYSTEMS,607-SURREY POWER SYSTEMS
608,TERRACE POWER SYSTEMS,608-TERRACE POWER SYSTEMS
609,EDMONTON ELECTRICAL SERVICES,609-EDMONTON ELECTRICAL SERVICES
669,EDMONTON ELECTRICAL SERVICES,669-EDMONTON ELECTRICAL SERVICES